GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,AIANHHA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME_E,KDLE001,KDLE002,KDLE003,KDLE004,KDLE005,KDLE006,KDLE007,KDLE008,KDLE009,KDLE010,KDLE011,KDLE012,KDLE013,KDLE014,KDLE015,KDLE016,KDLE017,KDLE018,KDLE019,KDLE020,KDLE021,KDLE022,KDLE023,KDLE024,KDLE025,KDLE026,KDLE027,KDLE028,KDLE029,KDLE030,KDLE031,KDLE032,KDLE033,KDLE034,KDLE035,KDLE036,KDLE037,KDLE038,KDLE039,KDLE040,KDLE041,KDLE042,KDLE043,KDLE044,KDLE045,KDLE046,KDLE047,KDLE048,KDLE049,KDLE050,KDLE051,KDLE052,KDLE053,KDLE054,KDLE055,KDLE056,KDLE057,KDLE058,KDLE059,KDLE060,KDLE061,KDLE062,KDLE063,KDLE064,KDLE065,KDLE066,KDLE067,KDLE068,KDLE069,KDLE070,KDLE071,KDLE072,KDLE073,KDLE074,KDLE075,KDLE076,KDLE077,KDLE078,KDLE079,KDLE080,KDLE081,KDLE082,KDLE083,KDLE084,KDLE085,KDLE086,KDLE087,KDLE088,KDLE089,KDLE090,KDLE091,KDLE092,KDLE093,KDLE094,KDLE095,KDLE096,KDLE097,KDLE098,KDLE099,KDLE100,KDLE101,KDLE102,KDLE103,KDLE104,KDLE105,KDLE106,KDLE107,KDLE108,NAME_M,KDLM001,KDLM002,KDLM003,KDLM004,KDLM005,KDLM006,KDLM007,KDLM008,KDLM009,KDLM010,KDLM011,KDLM012,KDLM013,KDLM014,KDLM015,KDLM016,KDLM017,KDLM018,KDLM019,KDLM020,KDLM021,KDLM022,KDLM023,KDLM024,KDLM025,KDLM026,KDLM027,KDLM028,KDLM029,KDLM030,KDLM031,KDLM032,KDLM033,KDLM034,KDLM035,KDLM036,KDLM037,KDLM038,KDLM039,KDLM040,KDLM041,KDLM042,KDLM043,KDLM044,KDLM045,KDLM046,KDLM047,KDLM048,KDLM049,KDLM050,KDLM051,KDLM052,KDLM053,KDLM054,KDLM055,KDLM056,KDLM057,KDLM058,KDLM059,KDLM060,KDLM061,KDLM062,KDLM063,KDLM064,KDLM065,KDLM066,KDLM067,KDLM068,KDLM069,KDLM070,KDLM071,KDLM072,KDLM073,KDLM074,KDLM075,KDLM076,KDLM077,KDLM078,KDLM079,KDLM080,KDLM081,KDLM082,KDLM083,KDLM084,KDLM085,KDLM086,KDLM087,KDLM088,KDLM089,KDLM090,KDLM091,KDLM092,KDLM093,KDLM094,KDLM095,KDLM096,KDLM097,KDLM098,KDLM099,KDLM100,KDLM101,KDLM102,KDLM103,KDLM104,KDLM105,KDLM106,KDLM107,KDLM108
"G010","2008-2010",,,"Alabama","01",,,,,,,,,,,,,,,,,,"Alabama",4592781,114,129,94,614288,11024,541,435,669,5309,805,662,429,1423,751,521,23,958,4059,84,1531,899,15371,234,1922,3694,39,544,1193,0,4756,1993,4702,54375,1079,433595,58,41051,2301,89982,10089,363959,121,8004,44,4905,195,1827,490975,307,82968,254,1640,334,168,61,245,1258,15822,536,33548,4220,1684,8397,3287,84524,96587,331,894,1744,379,0,35717,0,290,84,898,156,1937,0,47,16,366,552,132,67,30830,342,19581,4632,1704,2549,18093,8201,239,141,128,112,259,811,1105,3792,335,153,1056,70,1173,1991211,"Alabama",18533,126,98,87,10216,1563,311,501,529,1055,553,331,296,475,481,217,36,722,688,73,423,343,1224,113,664,712,47,262,355,158,848,508,842,2873,394,7781,49,2432,519,3900,1340,7322,188,1192,44,771,194,544,9784,217,3439,146,400,183,110,59,201,396,1345,247,1724,954,471,925,610,3584,4480,202,408,595,167,158,2340,158,201,103,389,165,681,158,75,26,168,599,135,87,2202,166,1606,770,800,582,1446,1315,113,114,90,64,179,265,464,818,203,216,522,54,379,11522
"G020","2008-2010",,,"Alaska","02",,,,,,,,,,,,,,,,,,"Alaska",874115,0,636,19,22399,1183,133,8,0,664,78,23,77,117,83,381,16,484,2058,188,501,447,4569,222,100,2937,102,527,1052,0,3707,1212,6231,15867,693,67730,238,15595,4753,24539,6837,136783,147,2308,11,1801,76,166,86008,114,25717,310,877,196,182,276,124,1902,29363,623,17515,2663,955,9335,4128,9851,22891,269,331,925,154,0,3433,0,263,0,17,0,152,20,0,464,29,533,12,0,1695,248,19396,3237,123,1626,6812,1849,119,0,45,0,181,411,381,329,68,44,248,23,828,295587,"Alaska",6943,140,488,31,1651,407,102,14,140,357,80,38,60,141,77,183,26,216,480,105,174,255,972,263,59,712,103,278,484,140,753,305,982,1386,294,3062,232,1649,871,2051,888,3241,140,609,16,449,84,128,3348,125,2150,167,277,133,147,265,103,611,1941,258,1636,740,451,1164,810,1190,2090,179,186,264,100,140,1028,140,218,140,28,140,153,32,140,210,47,445,18,140,627,202,2028,695,85,472,752,536,115,140,71,140,169,363,314,178,76,70,168,38,310,3951
"G040","2008-2010",,,"Arizona","04",,,,,,,,,,,,,,,,,,"Arizona",7309788,1866,2283,135,277007,30646,1796,5763,924,8370,638,1143,3244,5514,3254,6783,3050,2098,14997,1900,6649,2707,24703,2041,1236,20517,16,1323,7771,82,29340,6956,47646,102118,6085,620592,521,64740,13295,175224,32286,1007581,256,23420,324,30661,1772,7317,670199,1973,286336,1740,12645,1454,414,1308,338,4583,117357,3354,162894,15619,11979,57885,16974,63933,127350,5126,2357,10537,2657,0,28509,240,1075,620,487,985,2322,0,153,4130,1549,1143,129,121,13089,2466,105870,18442,2866,13345,41632,8714,90,302,746,54,432,870,914,3336,393,144,1155,278,11139,2922315,"Arizona",23189,1010,928,96,8751,3420,574,1851,481,1429,425,645,751,1430,1027,1377,1199,540,1217,529,933,1058,1771,618,402,1603,25,422,890,66,2069,1047,2829,3821,945,9958,293,3441,1484,4981,2207,13268,157,2117,242,2219,601,1613,11272,717,6687,507,1372,404,203,644,205,704,4498,781,4723,1546,1606,3132,1348,2878,3996,1047,487,1109,553,174,3276,185,494,370,305,564,954,174,197,1630,493,837,138,166,1906,881,3927,1695,855,1272,2514,1436,117,243,549,69,328,401,502,721,246,136,448,445,1662,14701
"G050","2008-2010",,,"Arkansas","05",,,,,,,,,,,,,,,,,,"Arkansas",2923889,0,0,19,299659,5396,557,343,128,1418,179,397,590,1423,361,491,126,381,2290,338,1122,684,7364,176,2002,2154,21,461,863,12,7073,2334,5608,51515,230,295597,175,23094,1788,63350,5713,344506,4,3572,0,3990,89,568,380831,25,49062,230,1267,116,52,44,6,817,13386,892,24641,2595,1360,5109,2871,42785,51304,470,378,1070,111,0,9620,0,53,60,46,67,741,0,15,178,47,0,0,0,8006,407,18796,5850,403,1364,13540,4984,215,95,17,25,25,3061,534,740,128,0,118,26,415,1156730,"Arkansas",17857,158,158,30,6643,1338,505,327,155,611,236,238,370,757,302,393,111,230,498,501,280,353,828,108,661,449,34,234,315,20,1210,711,990,2414,124,6435,142,1954,446,3148,855,5739,6,807,158,819,79,330,7651,26,2833,202,424,134,47,52,9,338,1290,342,1951,534,465,904,769,2487,2432,202,184,348,73,158,1307,158,56,82,53,105,736,158,23,223,47,158,158,158,1090,321,1662,961,239,406,1696,845,163,131,26,43,40,618,361,347,128,158,126,43,164,11262
"G060","2008-2010",,,"California","06",,,,,,,,,,,,,,,,,,"California",42347701,34108,4371,756,813519,258226,38875,18856,13374,56925,8560,18365,18794,43294,41183,252902,32075,19296,78049,18966,27263,30252,142170,11497,3297,89658,248,8178,46020,817,91518,26080,194949,414683,57944,2436530,3893,493672,50945,762777,114352,3468924,1432,132326,3045,132468,7394,216523,2731887,28024,1537665,10797,49974,3099,3400,7502,4420,47903,396986,7104,512573,367838,69337,441158,65537,259362,549565,16629,12899,23988,8045,356,287407,2030,24913,2392,3409,1171,22224,783,737,7534,9380,2239,1822,688,200874,7211,448708,111008,22084,96645,179963,74799,954,1058,19959,335,2088,2794,7100,26860,4650,537,8208,256,36021,23453895,"California",41550,3225,950,221,12650,8451,3370,2765,2387,3872,1581,2627,2227,3719,3977,7944,3462,1863,2746,1556,2109,2725,3532,1588,746,3603,151,1034,2772,458,2963,1675,5642,7796,2334,18591,668,9567,2403,10241,3907,18672,482,5154,706,4546,1287,7884,25357,3078,15434,1132,2406,502,734,934,778,3043,8144,839,8701,8216,4284,9540,3467,5381,8051,1849,1429,1543,936,232,9409,523,2518,700,985,613,2889,562,373,1894,1404,657,999,341,7946,1350,8284,4456,1977,4747,4445,3837,418,332,2574,187,704,519,1251,2044,858,358,1395,156,2711,34562
"G080","2008-2010",,,"Colorado","08",,,,,,,,,,,,,,,,,,"Colorado",6087940,1352,759,213,221813,16524,913,785,738,5634,1318,724,1199,2292,2921,3076,115,2718,21521,1633,6604,2660,26224,2192,1027,14778,0,1601,6738,162,38766,6190,46117,95174,7541,576480,1079,96087,11988,164435,27906,1113783,420,20161,36,21825,1354,4956,628504,1065,256232,2099,10463,927,251,362,544,9125,114162,2141,128521,10199,5533,59604,18521,69996,133803,2335,4012,9442,5922,0,28890,57,8117,1090,118,271,690,151,20,1891,1036,1342,447,0,12259,1401,137173,25166,1693,12786,46444,7086,99,56,559,48,361,366,887,3623,204,0,861,22,7757,1781174,"Colorado",17093,709,379,150,6919,2017,419,499,498,935,584,500,349,996,829,727,124,742,1681,418,901,721,1763,671,328,1431,161,457,836,152,2289,777,2758,3316,1002,8936,347,4077,1453,4948,2014,10546,187,1882,42,1434,571,1078,8766,361,6581,632,1094,306,134,142,260,1157,3753,420,4439,1084,805,2754,1700,2758,3559,568,688,1032,713,161,2559,75,1476,415,104,250,256,121,32,777,439,855,411,161,1552,728,3942,1746,421,1400,2579,1177,82,65,390,45,242,183,591,999,139,161,355,35,1225,10595
"G090","2008-2010",,,"Connecticut","09",,,,,,,,,,,,,,,,,,"Connecticut",4533954,368,10226,86,85492,19318,1611,609,305,9045,1597,515,2252,1753,1631,6080,829,1188,13960,76,2576,16767,16661,698,159,17898,162,516,3233,116,15957,6162,13537,30957,12040,354674,795,26800,6709,222421,102295,356213,94,31336,4126,39835,579,2758,605864,1198,677632,1920,30691,133,799,326,290,2786,18802,856,294724,55827,6298,69283,3474,21649,71816,1044,1753,21523,1428,38,28974,4059,456,1965,354,221,1971,32,39,288,943,408,64,22,16952,1200,66040,9855,4517,22520,14635,86971,187,1333,233,83,1968,261,19064,52797,3221,408,7267,149,4083,982508,"Connecticut",13493,255,2038,55,3527,1904,646,391,259,1136,806,416,639,652,630,978,396,356,1080,62,454,2388,1428,294,85,1354,132,221,622,86,1478,780,1383,2018,1763,6364,338,1957,831,5983,3874,5850,66,2352,1185,2499,311,728,8070,411,8845,406,2005,112,477,189,203,695,1525,283,6797,3046,997,2919,766,1440,2706,419,337,1841,403,63,2740,1081,222,764,224,178,1039,43,65,253,340,385,79,35,1871,388,2851,1020,1148,1757,1420,3824,173,514,297,79,881,185,2463,3184,998,336,1443,107,938,6781
"G100","2008-2010",,,"Delaware","10",,,,,,,,,,,,,,,,,,"Delaware",1065807,0,251,36,35283,2436,179,3,69,983,181,133,168,574,146,430,11,46,1818,149,327,201,3653,146,127,1724,0,216,388,0,2342,1035,1734,14895,1315,107625,366,6009,460,19273,2942,143844,0,4506,454,4570,79,446,162614,202,87585,190,2766,27,0,95,7,410,3955,2878,45743,1810,1238,7534,1009,9474,16500,220,545,2268,166,0,8851,25,66,349,652,374,753,8,156,18,119,37,16,0,5829,449,6848,2221,897,5649,9712,9499,0,208,46,46,189,22,2695,4884,733,71,580,25,374,315383,"Delaware",7473,154,180,40,2393,851,143,5,65,684,149,95,144,379,115,189,20,46,346,240,144,160,726,136,148,419,154,133,167,154,462,322,517,1782,421,3622,459,975,177,1603,444,4458,154,702,309,619,80,278,4826,160,3377,136,522,32,154,87,8,272,657,538,3028,491,567,924,455,1038,1145,159,235,538,93,154,1419,40,82,283,505,242,378,13,147,31,141,54,27,154,1272,286,868,492,666,759,1111,1852,154,154,39,73,113,35,994,1500,429,60,326,40,213,4006
"G110","2008-2010",,,"District Of Columbia","11",,,,,,,,,,,,,,,,,,"District of Columbia",633940,159,262,57,7713,4392,289,146,27,1602,363,284,320,729,632,697,23,317,2129,220,663,483,4111,366,96,953,28,0,597,22,1659,368,1677,3607,4239,31540,136,7773,898,10037,1710,40106,0,2281,402,2474,17,1216,42069,281,18014,254,1269,125,154,35,256,450,3724,64,11087,1203,1052,9989,965,3569,7930,392,181,977,322,0,16196,133,3039,272,31,66,2088,0,71,26,113,39,60,0,9274,984,4299,1920,466,1781,2757,8434,118,247,174,84,399,23,978,3418,1412,241,1340,0,210,360087,"District of Columbia",4524,146,184,63,1018,813,161,170,45,450,236,260,180,462,228,266,36,175,462,137,223,210,558,283,63,374,46,171,233,36,403,180,548,506,711,1679,116,1005,315,1052,391,2111,171,457,160,551,28,396,2121,178,1302,139,291,129,147,45,174,207,556,76,1020,372,344,994,298,494,663,167,106,255,187,171,1969,83,770,151,47,74,674,171,93,41,70,52,56,171,1449,517,653,406,206,396,475,1249,109,135,226,90,230,39,383,911,552,144,523,171,148,3583
"G120","2008-2010",,,"Florida","12",,,,,,,,,,,,,,,,,,"Florida",20768879,953,11707,464,1297215,98219,11095,2341,2639,32996,8765,6501,9832,15479,8571,13829,726,4960,55210,1757,15271,72711,87220,5965,3014,69804,412,2867,17358,184,59285,16535,46124,224951,25322,1569344,2034,189775,29229,498479,115456,2173912,471,91934,21054,103302,2714,12541,1954930,15063,1206338,4785,42213,1036,2528,2897,969,7128,118568,9371,502726,71438,35860,237861,19466,185762,317387,10122,6937,31573,6419,191,148660,2774,3766,1193,696,1355,7468,87,311,0,5652,1032,42,525,121344,2415,160059,36845,15993,47623,100743,772819,28108,5262,3779,1127,10491,2085,395186,250978,30007,4356,40067,1373,20205,7732056,"Florida",33429,623,2313,205,15534,4849,1692,850,1053,2287,1670,1553,1318,1710,1260,1432,274,824,2310,625,1323,3899,3680,1239,717,3429,232,630,1790,131,2910,1627,2247,6441,1697,14492,571,6568,2236,8054,4349,19112,270,3966,2594,3602,688,1581,18725,1976,13657,755,2213,247,618,758,324,1188,4183,1035,7922,3731,2405,5498,1817,4453,6706,1488,889,2044,898,144,6817,845,1152,474,335,587,1335,84,220,177,1095,800,74,256,6114,815,5110,1870,2084,2599,3454,12834,2656,897,982,525,1552,759,9948,8480,2540,1187,3121,483,2469,24153
"G130","2008-2010",,,"Georgia","13",,,,,,,,,,,,,,,,,,"Georgia",9759251,1311,1146,230,1008057,23788,1949,1408,570,8258,983,905,1997,3779,3939,2676,255,1643,12210,155,4604,12020,39309,2036,1788,12993,50,1051,4522,0,15373,4551,13795,85724,8083,839485,411,95247,5836,148759,23980,751404,465,21368,7128,20112,614,9960,849925,1254,216416,1511,8110,224,321,305,110,4183,35310,1507,101863,12126,11908,42203,7694,132516,178899,1978,1813,6856,1216,35,192564,856,11296,4691,2160,2181,22520,569,738,2012,3545,661,294,125,133401,7515,43165,12548,4680,13505,40251,110279,3311,1848,906,391,3400,969,24331,52483,7267,1792,13402,179,10429,4531408,"Georgia",23663,776,417,118,13095,2375,597,647,324,1062,419,433,595,1081,1214,733,142,416,1053,111,1050,2359,2708,570,508,1314,57,295,950,171,1622,723,1370,3445,1352,12725,191,4645,889,4478,2037,11245,350,2012,1358,1928,351,1544,10345,441,5938,416,1120,117,169,183,125,850,2279,381,3939,1456,1713,2720,1306,4214,4819,506,420,953,343,43,9294,310,1916,1359,769,893,2793,463,669,1144,1119,555,243,145,7942,1866,2204,1306,996,2205,2099,6268,993,536,518,237,829,395,2840,4047,1267,793,2276,106,1793,18510
"G150","2008-2010",,,"Hawaii","15",,,,,,,,,,,,,,,,,,"Hawaii",1732402,0,0,18,9156,2325,365,24,22,577,222,68,302,447,298,582,29,900,2022,92,713,1060,3073,377,199,2203,79,233,613,19,2264,491,3926,11108,356,58062,43,7990,1802,23905,3007,90627,23,2049,42,2796,87,354,66963,51,28971,357,991,61,34,136,148,940,10379,200,12926,57364,741,5037,2205,6751,15194,419,176,528,351,0,1596,59,54,0,61,110,10,0,0,0,232,0,0,0,1007,63,11244,2960,305,1420,5676,2553,68,66,15,0,0,45,744,1032,58,42,384,99,420,1262680,"Hawaii",8485,158,158,29,1200,667,208,37,35,258,206,81,198,372,228,267,39,397,437,100,329,535,541,362,154,880,98,127,300,29,492,211,778,1458,152,2721,68,1228,540,1868,624,2845,39,547,67,658,72,198,3094,44,2243,340,367,53,39,196,132,337,1057,127,1357,3072,417,795,677,904,1379,265,119,203,157,158,523,93,60,158,102,158,16,158,158,158,177,158,158,158,380,61,1250,602,145,427,965,861,99,100,23,158,158,50,661,585,60,67,219,105,209,7929
"G160","2008-2010",,,"Idaho","16",,,,,,,,,,,,,,,,,,"Idaho",1782726,320,146,27,155454,1837,129,47,87,712,57,0,148,332,325,983,0,580,3847,7158,1374,347,8422,183,194,4878,0,325,1327,56,7484,1823,35825,36556,503,263859,70,30187,4737,45063,9438,301940,56,5484,41,3705,594,529,159097,51,48487,328,1468,173,37,92,201,2523,53032,666,20498,8141,1262,9932,9744,20374,51084,391,508,1016,425,0,3451,126,222,0,12,29,0,0,0,522,294,230,0,21,1387,608,50324,12609,785,2569,20877,650,0,0,0,0,0,280,56,311,3,0,0,0,3627,362952,"Idaho",10909,319,149,46,5410,521,115,54,116,310,75,154,171,227,219,384,154,438,638,955,385,174,1296,164,154,711,154,139,361,89,909,460,2398,2204,296,5684,70,2149,641,2037,1159,5764,54,845,66,630,232,255,4758,59,2990,219,378,98,56,90,141,652,2654,221,1681,1021,517,1467,1071,1486,3294,307,321,310,208,154,979,130,161,154,18,49,154,154,154,649,234,272,154,35,529,378,2657,1136,594,707,1774,250,154,154,154,154,154,199,56,186,6,154,154,154,1328,5347
"G170","2008-2010",,,"Illinois","17",,,,,,,,,,,,,,,,,,"Illinois",15059550,1476,10712,664,581947,81817,5519,5976,5308,12760,3654,12443,4616,20657,10884,7740,16594,3183,39547,794,34497,5719,33445,14189,531,15536,141,976,45068,212,125689,17875,50591,192868,20454,809046,1228,113153,17800,262280,35421,2599644,457,105268,1440,52356,834,9995,1633378,4733,805087,6971,92288,6065,4630,223,557,7223,169125,5108,979499,9870,33444,132395,15777,86757,154201,21410,6018,41211,14295,136,76005,274,3495,3289,633,618,12537,41,254,392,1969,656,88,161,48064,3534,293955,39812,6953,50676,52666,30423,366,830,4586,108,371,264,8659,11969,1249,155,1866,0,20760,4946712,"Illinois",29314,1069,1807,210,8906,5000,1177,1651,1187,1488,1084,2507,1092,3194,1788,1040,2444,941,2259,351,2009,1079,2250,1700,185,1617,105,239,2540,145,4104,1571,2493,4117,1621,8921,346,4526,1419,5757,1910,15671,217,5044,550,2639,211,1230,11175,1099,12456,1236,3355,653,939,102,276,1042,4404,800,13096,1163,2527,3758,1539,2717,3772,2017,972,2361,1270,91,4657,368,1291,778,378,377,1988,52,234,287,613,436,73,204,3705,1346,6422,1757,1190,2618,2528,2910,252,697,1040,91,185,160,1947,1554,524,181,510,154,2228,14084
"G180","2008-2010",,,"Indiana","18",,,,,,,,,,,,,,,,,,"Indiana",6882368,463,687,337,639872,18660,1514,1096,741,4668,476,1284,2761,4208,1912,802,464,1396,8938,58,13677,1439,22524,1247,580,9302,56,654,12471,75,18691,5233,13855,140842,2948,613454,278,61698,4924,160944,17021,1663732,52,22815,188,37163,206,2645,825263,316,183798,911,11344,591,5364,205,296,3212,36107,13138,205911,4373,9066,26416,6505,64607,121061,10239,1968,20104,3076,0,86612,0,1262,492,816,815,3881,230,33,399,779,485,102,108,75764,1446,63785,45375,1352,8458,37848,6254,103,111,130,44,347,309,1703,2040,278,0,1046,143,6293,1572129,"Indiana",23846,284,307,178,10300,2156,587,679,416,845,237,646,855,980,676,292,266,478,997,75,1182,526,1765,394,257,926,50,225,1299,94,1499,752,1274,4463,571,8973,180,2922,694,4359,1056,13542,53,2003,164,2280,109,776,9873,149,5314,327,1167,234,1085,176,184,682,2014,2302,5531,707,1331,2081,873,2590,3952,1565,443,1415,723,154,4969,154,517,449,356,744,980,292,40,515,385,503,83,157,4889,666,2824,2878,411,1132,2304,1186,114,141,122,51,311,135,624,557,206,154,604,106,1156,11024
