GISJOIN,YEAR,ANRCA,RES_ONLYA,TRUSTA,AIANHHA,TRACTA,C_CITYA,COUNTYA,CTY_SUBA,DIVISIONA,MSA_CMSAA,PLACEA,PMSAA,REGIONA,STATE,STATEA,URB_AREAA,ANPSADPI,E8M001,E8M002,E8M003,E8M004,E8M005,E8M006,E8M007,E8M008,E8M009,E8M010,E8M011,E8M012,E8M013,E8M014,E8M015,E8M016,E8M017,E8M018,E8M019,E8M020,E8M021,E8M022,E8M023,E8M024,E8M025,E8M026,E8M027,E8M028,E8M029,E8M030,E8M031,E8M032,E8M033,E8M034,E8M035,E8M036,E8M037,E8M038,E8M039,E8M040,E8M041,E8M042,E8M043,E8M044,E8M045,E8M046,E8M047,E8M048,E8M049,E8M050,E8M051,E8M052,E8M053,E8M054,E8M055,E8M056,E8M057,E8M058,E8M059,E8M060,E8M061,E8M062,E8M063,E8M064,E8M065,E8M066,E8M067,E8M068,E8M069,E8M070,E8M071,E8M072,E8M073,E8M074,E8M075,E8M076,E8M077,E8M078,E8M079,E8M080,E8M081,E8M082,E8M083,E8M084,E8M085,E8M086,E8M087,E8M088,E8M089,E8M090,E8M091,E8M092,E8M093,E8M094,E8M095,E8M096,E8M097,E8M098,E8M099,E8M100,E8M101,E8M102,E8M103,E8M104,E8M105,E8M106
"G010","1990",,,,,,,,,"6",,,,"3","Alabama","01",,"Alabama",4700,26,23,279,26,287,2967,50,339,188,577,82,228,42,239,1550,75,655,146,16080,141,1720,0,376,0,5060,1626,885,3207,45830,307,375853,101,8445,1182,61883,7234,342998,23,5711,133,2798,188,1092,410400,127,37749,194,1188,44,18,80,12,767,5498,281,14588,973,506,3500,1909,109828,52538,135,96,3241,167,2,0,82,17,11,33,1385,0,0,14,78,57,0,7,5,2823,60,11612,2568,454,1249,705907,10705,151,64,8,47,52,382,181,701,211,28,543,15,417,1049796,25638,686093
"G020","1990",,,,,,,,,"9",,,,"4","Alaska","02",,"Alaska",678,181,12,0,0,0,217,5,10,56,148,18,133,0,139,1169,188,489,59,2290,71,1096,0,83,10,402,1737,735,4061,8223,72,51658,79,3351,2718,14824,3988,97039,19,1264,72,1461,103,136,44593,14,10119,120,921,19,2,15,32,610,16517,295,8443,1111,279,4051,3777,9809,11480,231,169,1176,48,0,20,34,5,0,0,38,0,0,0,0,0,0,0,0,315,18,11469,1790,48,580,23000,3074,0,6,0,0,33,29,89,102,41,0,100,0,1114,127458,20945,46910
"G040","1990",,,,,,,,,"8",,,,"4","Arizona","04",,"Arizona",1871,144,191,527,223,189,5095,105,448,1210,1299,402,2008,273,525,7544,888,3405,416,14218,304,6569,60,475,44,5246,10627,4190,22823,52237,894,393849,239,8179,7406,89013,19300,684857,283,10025,35,14475,545,2047,296539,807,118108,791,6513,690,209,291,117,1057,46816,2060,69773,4895,4014,24457,11450,63903,56435,1341,767,13996,810,78,104,256,128,5,0,464,0,0,44,214,85,0,22,55,1948,139,58640,9609,540,5867,101492,20233,60,26,99,0,67,378,267,824,217,67,540,14,3466,935487,65362,357889
"G050","1990",,,,,,,,,"7",,,,"3","Arkansas","05",,"Arkansas",4136,19,34,35,38,13,554,15,144,252,290,160,140,105,73,1160,81,530,18,7462,36,850,4,152,15,2851,2474,953,3230,41661,112,213211,30,3258,657,47753,4611,321428,47,1983,0,1438,66,317,288212,16,20482,148,1094,64,16,58,13,348,5898,529,12015,906,266,1541,1641,56196,23630,141,91,2775,45,0,67,52,45,23,0,849,0,0,0,8,0,8,0,11,1000,33,10510,3126,109,609,314204,6902,6,22,9,20,22,1493,39,159,6,0,152,10,346,489368,14587,428409
"G060","1990",,,,,,,,,"9",,,,"4","California","06",,"California",14423,1648,1001,18356,5497,5289,40949,2038,10699,12020,24294,4791,139522,14102,8740,65852,14814,20667,7926,119624,3966,57591,111,4371,306,37471,51254,26719,163964,335739,15711,2370828,3155,84023,44316,579484,118220,3676049,1514,102178,2337,104722,4517,103765,1947257,18185,1079022,9908,41755,2043,1206,6294,1965,13748,263646,8738,378077,275492,38208,327675,71846,399870,393809,8598,6494,66016,3888,878,2058,8725,1643,899,584,9396,52,275,332,3881,295,390,269,176,29041,1311,370470,86810,10020,40303,709442,119081,273,1075,10281,111,879,2008,4485,16803,2829,509,7640,271,37292,9173358,2806700,2510873
"G080","1990",,,,,,,,,"8",,,,"4","Colorado","08",,"Colorado",1957,170,140,440,153,66,2637,87,452,489,1169,467,1330,84,564,10246,746,2935,246,14627,387,4190,27,558,0,4714,14170,5084,25461,53877,1211,363136,303,10478,5729,78870,15532,840255,457,9288,84,10589,641,1927,290242,335,112147,1376,4635,284,90,102,127,2080,48300,2443,51609,3045,1658,22653,11846,70009,60833,1008,1303,15193,2501,106,21,575,84,21,23,690,0,0,8,178,34,45,0,55,1327,117,77709,11428,590,4660,96610,20840,15,36,37,7,36,263,171,680,34,61,297,0,3225,563063,68462,253094
"G090","1990",,,,,,,,,"1",,,,"1","Connecticut","09",,"Connecticut",655,2277,175,668,63,52,6480,156,288,1261,695,213,3899,846,697,11815,203,2137,2303,14256,100,9314,231,426,36,2028,5492,4079,9465,19151,3041,292593,885,3445,4996,169274,91913,306666,105,22290,686,31631,323,1456,393151,1046,510713,1729,26642,95,251,185,80,670,11628,570,224811,35523,3736,55723,3374,31420,48161,235,651,31284,656,84,2504,145,375,16,77,757,0,26,108,436,50,6,0,30,2774,161,48015,5838,1030,15844,76487,9306,137,938,66,127,456,68,4842,19648,845,50,3228,90,2083,375077,65846,238447
"G100","1990",,,,,,,,,"5",,,,"3","Delaware","10",,"Delaware",194,118,60,117,29,24,373,57,64,142,213,33,230,0,60,1433,7,418,60,3480,13,783,0,50,13,386,810,575,996,7741,332,84317,92,875,571,10542,2288,101318,40,2527,38,2010,9,233,88502,147,48156,298,1605,0,7,25,0,38,1926,1897,28137,735,343,4934,676,10572,10081,155,100,2857,31,7,0,63,6,9,22,231,0,0,20,36,7,17,0,0,599,64,4510,1067,277,3408,29084,4666,48,74,0,16,22,14,201,1039,152,9,251,8,237,117568,10982,66561
"G110","1990",,,,,,,,,"5",,,,"3","District Of Columbia","11",,"District of Columbia",109,53,32,284,44,16,924,310,148,45,439,196,315,62,115,1557,37,372,495,3098,43,374,0,56,22,468,647,358,831,2145,1099,23318,29,1628,324,5172,1191,27824,85,2069,693,1507,63,1043,22682,124,8881,398,1026,57,38,61,16,167,1693,49,6303,627,457,9019,574,4402,4969,134,52,883,111,41,111,1300,149,33,83,1737,23,158,201,113,126,13,24,44,4403,346,2354,1022,287,812,11651,1286,38,58,0,66,278,0,843,3072,900,131,971,6,266,344700,13063,73828
"G120","1990",,,,,,,,,"5",,,,"3","Florida","12",,"Florida",10085,1363,591,2870,552,601,19507,1084,2590,6170,6190,1355,6373,302,2109,44490,960,9979,7039,62066,1041,31845,181,948,312,14161,21598,12237,29837,157554,5147,1287805,1255,21150,19233,313708,91032,1870001,145,56416,4193,68049,1062,5633,1152151,4626,620739,4488,29102,819,498,1740,248,1868,59386,7345,295037,23975,20122,183244,14243,254977,203811,3153,2062,50553,2062,301,634,573,411,76,199,2818,78,210,0,1234,47,41,62,72,11960,481,111989,22588,4588,24844,724919,55457,12427,1631,1236,336,3561,599,103448,82765,7038,1183,12009,621,6482,2882493,248858,1472589
"G130","1990",,,,,,,,,"5",,,,"3","Georgia","13",,"Georgia",6863,119,120,968,75,277,4729,82,413,685,1143,418,931,73,849,5754,104,2138,629,32395,158,4446,10,649,44,8882,4216,2022,6511,67199,1463,683423,185,13657,3357,98928,16016,634529,59,12026,514,8598,268,3057,628011,367,77544,722,4240,141,55,94,122,713,12880,724,43886,3184,2368,20083,4713,160741,95252,423,455,8040,485,42,193,1346,513,134,517,4853,11,146,296,655,8,143,82,32,9736,489,24152,5438,1035,3225,837184,22283,409,260,39,203,292,318,1049,5676,582,186,1735,20,804,1743508,84979,1031418
"G150","1990",,,,,,,,,"9",,,,"4","Hawaii","15",,"Hawaii",592,19,42,125,0,0,369,24,10,72,229,51,377,0,295,1115,101,330,42,2290,88,1172,0,83,9,450,793,603,2172,5106,68,44581,29,1492,942,12095,2396,74978,40,1195,43,1548,100,316,36719,63,15045,197,865,93,6,13,103,170,5634,116,7269,39748,391,3482,1216,7379,8540,96,77,1302,60,0,50,42,12,6,0,13,0,0,0,13,0,8,0,0,245,33,6589,1187,184,769,7572,2129,5,23,31,56,24,31,185,401,63,6,187,0,433,74399,668706,59861
"G160","1990",,,,,,,,,"8",,,,"4","Idaho","16",,"Idaho",264,14,24,40,13,3,208,7,12,99,160,8,108,28,273,1686,4771,575,100,3902,60,1570,0,74,0,679,3224,1059,24433,19893,24,208625,37,3675,2876,26104,5479,214544,29,2053,0,1613,225,349,77778,34,16547,20,545,125,23,23,11,769,21843,649,7352,2005,331,2157,7122,19628,24547,123,132,1575,48,11,0,5,0,4,0,94,0,0,8,34,0,0,0,2,60,6,34012,7796,79,643,43268,10782,8,0,3,0,0,118,32,68,36,0,38,0,699,81778,11548,103310
"G170","1990",,,,,,,,,"3",,,,"2","Illinois","17",,"Illinois",2303,2543,439,2241,1445,1742,6419,576,5213,2455,9719,835,7021,12610,1058,30561,304,26431,1498,25145,1370,7380,57,445,171,42537,77441,18959,39448,146599,4417,688434,847,13386,12865,185000,32054,2613753,450,79601,582,40232,514,5767,1059065,1998,543498,5401,72820,5600,998,178,130,1798,98256,5093,717860,4310,16407,104394,16191,126340,101781,12831,1936,73284,8152,285,76,1029,1146,164,274,4220,0,17,18,557,147,113,126,25,9170,496,233903,25379,2320,27336,319070,29758,240,163,1987,44,133,155,4310,6980,401,39,1671,27,14636,2344804,305650,962545
"G180","1990",,,,,,,,,"3",,,,"2","Indiana","18",,"Indiana",1396,189,168,561,47,154,2810,101,463,1417,1287,192,786,365,574,5050,176,9578,371,18021,673,4286,78,373,68,14017,6495,2390,8510,105561,420,511426,215,6978,2831,118708,15010,1748546,167,15705,81,26548,137,1136,502749,374,83122,1469,7265,385,2674,99,36,1054,15417,7966,129095,1650,4837,11808,4265,86353,67196,6616,657,28677,953,91,33,175,111,12,39,677,0,19,2,98,9,25,0,15,2784,173,41190,26481,612,4238,395497,22877,64,58,108,17,17,137,240,1192,152,37,365,5,3015,611382,43309,790121
"G190","1990",,,,,,,,,"4",,,,"2","Iowa","19",,"Iowa",406,23,48,220,24,121,1772,33,156,421,300,153,216,0,157,2637,36,5145,146,5307,291,1333,0,166,8,4091,35526,4919,52411,109073,189,229297,78,3972,1439,51725,7366,1178945,67,4844,60,2079,234,747,263348,98,29051,809,2160,3540,10,49,50,1250,100866,4659,18569,656,653,4492,9260,45960,29792,422,168,6740,280,5,0,33,51,31,9,324,18,0,0,27,18,31,110,23,901,67,73172,9951,225,822,86754,14421,28,6,10,7,16,35,50,92,31,2,68,0,630,101238,26802,231684
"G200","1990",,,,,,,,,"4",,,,"2","Kansas","20",,"Kansas",1143,66,55,215,74,98,2417,81,257,313,537,149,274,41,401,3935,70,3173,199,7369,110,1684,11,186,0,6508,13897,2820,11616,51932,322,262237,41,6079,1065,61977,8457,805458,609,2961,5,2247,113,1106,220423,90,28838,266,1397,252,9,39,45,684,13524,3701,21620,961,626,8764,3143,55725,34419,369,274,5163,753,63,37,151,81,62,12,309,0,0,0,18,38,69,11,0,1520,77,51714,10668,181,1472,118653,14510,36,21,23,7,29,237,77,404,71,0,262,2,1057,281104,34883,296322
"G210","1990",,,,,,,,,"6",,,,"3","Kentucky","21",,"Kentucky",1791,34,65,139,17,181,2517,40,231,411,510,113,150,3,283,1895,85,865,64,14552,94,1534,0,321,25,2818,1533,776,2250,46903,233,424267,62,7195,964,57521,6494,662049,101,3280,47,3662,87,859,436284,123,36086,180,1091,55,33,84,7,198,4674,651,15783,903,741,4167,1754,74786,44289,268,117,3174,236,7,59,120,59,20,0,437,0,8,0,59,6,10,0,26,1503,77,10089,6720,228,1024,609795,12615,32,28,10,19,30,277,162,532,97,20,230,9,656,400366,21699,745562
"G220","1990",,,,,,,,,"7",,,,"3","Louisiana","22",,"Louisiana",407319,46,80,214,98,112,5007,36,433,1245,1084,182,413,63,190,2204,179,3076,232,8771,90,2159,6,189,46,4711,2135,1289,3367,24837,422,232151,32,2639,1177,411645,79752,362269,77,4400,80,3738,54,1051,303169,134,135256,242,1290,48,33,43,67,685,6153,371,14551,1845,596,4478,1899,64916,25697,153,110,3375,92,0,75,209,68,0,19,1320,6,0,10,50,24,0,0,0,5267,74,9875,2547,411,1012,280143,7075,22,65,290,0,76,242,523,957,298,103,708,32,1321,1293020,43065,436563
"G230","1990",,,,,,,,,"1",,,,"1","Maine","23",,"Maine",2258,350,32,8,0,9,1850,31,67,293,122,2,619,0,113,1126,29,323,80,5517,52,10576,0,246,0,557,1077,559,4386,8278,318,279371,62,1304,4862,173137,101986,75249,8,4458,0,2031,72,140,133564,55,35807,341,2943,17,3,20,18,161,4400,241,15682,2783,245,5326,1530,29562,44372,37,101,2054,58,0,35,2,7,5,0,44,0,0,0,14,0,0,7,0,151,11,15147,1267,94,872,86826,5592,0,2,0,44,45,0,136,174,22,0,104,0,164,38587,10189,107509
"G240","1990",,,,,,,,,"5",,,,"3","Maryland","24",,"Maryland",1788,222,176,1692,426,458,4345,1132,971,1368,1805,883,2512,109,843,10929,199,2616,2299,21998,457,4268,141,530,231,4197,10475,4967,7665,39051,6051,438951,1193,9291,3597,69054,15007,945514,90,27974,2901,15484,266,9137,432671,1838,181930,2348,15548,224,114,142,130,1057,14399,2888,137064,5148,4401,70966,4371,65548,63585,937,786,20891,658,284,455,3378,2443,393,708,6406,32,922,154,389,139,317,43,38,11352,1583,24329,8306,1983,10892,178700,23580,293,541,94,131,1167,156,3663,14774,4271,260,4559,201,1677,1143884,160052,468012
"G250","1990",,,,,,,,,"1",,,,"1","Massachusetts","25",,"Massachusetts",1036,5915,235,1952,366,306,22694,396,817,5487,2387,850,24037,519,861,12128,210,3635,6992,23180,410,44137,29,680,120,1860,5283,3048,10863,28154,7654,592523,744,6498,21168,426334,257255,325614,86,70049,438,11215,541,4251,1135460,2421,652593,4789,43585,146,106,299,192,1187,18391,612,252143,241173,4331,99360,5691,80233,121285,448,439,9796,251,408,27570,958,644,166,318,1559,32,144,28,660,48,211,35,41,5059,451,89443,6138,1792,11645,161269,12387,154,3279,79,329,1210,77,23246,11339,2459,240,6407,28,1444,436420,181488,419332
"G260","1990",,,,,,,,,"3",,,,"2","Michigan","26",,"Michigan",1423,4498,113,1616,6044,1403,32794,694,2524,5495,13884,1452,11758,13605,904,14908,188,37442,756,23304,1399,27790,135,527,187,20902,23437,10663,31778,384178,2073,811283,332,10121,83517,379481,122804,2021618,338,35118,118,71135,392,2707,691640,793,303210,4564,25516,506,3477,10518,105,2135,42204,7956,656806,2615,17208,50835,11208,108529,148774,5302,1947,52683,2074,98,76,749,313,53,299,1966,17,53,7,269,89,46,72,57,5474,377,117046,14744,1400,29186,332467,26315,210,122,56,108,257,125,508,3214,240,22,1085,42,12117,1431636,118779,828160
"G270","1990",,,,,,,,,"4",,,,"2","Minnesota","27",,"Minnesota",539,99,136,706,57,88,4414,64,332,625,658,346,508,40,374,9001,70,9813,303,7578,334,2591,62,244,29,7419,47423,8587,51736,55573,962,184127,437,6035,76267,117097,30438,1630513,384,6521,405,6263,1901,1736,276732,410,58120,2123,4321,3254,90,98,21,2854,494440,1302,142302,1000,2748,20031,71152,31494,32207,2425,2319,18566,4603,14,29,968,181,102,441,1336,18,17,0,94,22,95,79,14,1864,155,328573,12212,397,7300,66484,10069,39,37,6,9,63,35,219,570,63,60,408,9,5320,172673,80898,238779
